Title,Service_Request_Count
VWITS_Nexus,5
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Ganges, 9th Floor",5
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEV_RDR,5
VWITS_REQ10922141 : VW IT Software Requisition Request,5
"VWITS_Hi, I am new to the team and need access to the KIRA resoucrce.",5
VWITS_VWITS_KIRA resources access- V:V-UNIXWOB,5
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access VWAG_COCOA_RDR (for LSO),5
VWITS_I require access for Jira and Confluence link which resides on Cocoa Devstack.,5
VWITS_Resource Account and Distribution List Form' requester details.,5
VWITS_Need to add in internal network,5
VWITS_New Lenovo Yoga Laptop configuration and data backup restoration.,5
VWITS_Pls grant devstack access,5
VWITS-Kindly revoke internet access of below mentioned user,4
VWITS-Need to delete the hostname from AD,4
VWITS-Kindly revoke local admin access,4
VWITS-KIRA resources access V:V-UNIXWOB,4
VWITS_want local admin access in new laptop,4
REQ11148274 : VW IT Software Requisition Request,4
VWITS_DataGrip 2024 Uninstallation.,4
"VWITS_We have the sender access permission for our shared mailbox - infosec@vwgds.in, but not permission to send to Pune, GGN and BLR, Czech DL, our previous email ID - informationsecurity@vwits.co.in has the access, but this new vwgds.in doesnt have it.",4
VWITS-kindly revoke local admin access for mentioned user,4
VWITS_Sublime Text 3.0 Uninstallation.,4
VWITS_Headset,4
VWGDS_TOWNHALL,4
VWITS_Docker Desktop 4.36 Uninstallation.,4
VWITS_DbVisualizer 24.2 Uninstallation.,4
VWITS_install virtual certificate on my machine,4
VWITS_ Request for IT support,4
VWITS-Request for the identified vulnerability,4
VWITS-Quarterly health check and system update,4
VWITS-Quarterly health check and system update.,4
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Hudson, 5th Floor",4
VWITS_Require access for Jira and Confluence link which resides on Cocoa Devstack.,4
VWITS_I want to access the websites with the virtual touch not the user id and password.Currently this is happening for macbook. I have to enter the user id for every action,4
VWITS_KIRA Resources,4
"VWITS_I have recently joined AISHA team, need Access of devStack Bitbucket and CL Jira",4
"VWITS_Hello Team, Please provide us with SSL certificate for the attached CSR. I am sharing CSR file. Thank you!",4
"VWITS_I am not receiving the Trellix Antivirus report for resource mailboxVGJP R: Tokyo, Trellix Antivirus Reports server_scanning@vgj.co.jp since 25th of July. I use to receive the report regularly till 24th.",4
VWITS_KIRA resource access,4
VWGDS-Request  screensaver org wide,4
VWITS_Need HDMI cable,4
VWITS_Need to delete old host name in AD :,4
VWITS_Kindly install Visual Studio Code into my system.,4
VWITS_VWITS_KIRA resources access - V:VWAG_COCOADEVSTACK_RDR,4
VWITS_Need Dev stack Access to run day to project activities,4
VWITS_Migrate Account in O365,4
VWITS_My laptop key board is not working properly.,4
VWITS_Need to install the printer,4
"VWITS_Request for Kira Resource Edition in VCD. Here is the resource name: [V:VWAG_COCOADEVSTACK_RDR, V:VWAG_COCOADEV_RDR]",4
VWITS_Request for IT support,4
VWITS_Need to delete hostname from AD,4
VWGDS-New Lenovo ThinkPad X13 2-in-1 Gen 5 configuration,4
VWITS_Printer configuration,4
VWITS_Printer Installation,4
VWITS_New iphone configuration,4
VWITS_VWGDS_KIRA resources access for,4
VWITS_VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,4
VWITS_REQ10024016 : VW IT Software Requisition Request,4
VWITS_REQ10141802 : VW IT Software Requisition Request,4
VWITS_REQ11073497 : VW IT Software Requisition Request,4
VWITS_Remote connection issue,4
VWITS-IT Asset Requisition' requester details.,4
VWITS_vsc installation,4
VWITS_REQ9727677 : VW IT Software Requisition Request,3
VWITS_My colleague's PKI card is not detecting.,3
VWITS_Need Access to teams recording feature. Please see the attached signed form for same.,3
VWGDS-new Lenovo ThinkPad X13 2-in-1 Gen 5  configuration,3
VWITS_REQ9721711 : VW IT Software Requisition Request,3
VWITS_require access for Jira and Confluence link,3
VWITS_REQ11221034 : VW IT Software Requisition Request,3
VWITS_Need to update host file - Congo,3
VWGDS-Enable international roaming on the company-issued SIM card for usage in Germany,3
VWITS_Request for Kira/Devstack role access,3
VWITS_Need to install virtual card,3
VWITS_REQ10923971 : VW IT Software Requisition Request,3
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14539196,3
VWITS-Access to color printer,3
VWITS_Please add my id,3
VWITS_Need to install virtual smart card,3
VWGDS-please share latest AD dump data for systems reporting in APAC/VW along with username,3
VWITS_Need to install printer,3
VWITS_REQ12228385 : VW IT Software Requisition Request,3
VWGDS-Flexera KIRA Role Assignment,3
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:V-B2BINT,3
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEVSTACK_RDR,3
VWITS_Need access to the Charm tool for supporting the authorization related tasks for ET2000 systems for South Africa.,3
VWITS_V:VWAG_COCOADEVSTACK_RDR,3
VWITS_please help and assign the role: V-B2B-EXPORT - B2B,3
VWITS_please help us and create the user in SOP 100,3
VWITS_Quarterly System Health check up,3
VWITS_New Request [REQ12008536 / RITM17250794] to IT Service Desk For IT Security Exception Reporting Form,3
VWITS_Request for Access on Devstack - Volkswagen AG,3
VWITS_need to enable the team meeting recording for the KT sessions,3
VWITS_VWITS_KIRA resources access - V:VWAG_InternalX,3
VWITS_Revoke SSID,3
VWITS_My laptop is facing a lot of performance issues and it is getting heat up. Memory is full completely. CPU is on its optimum usage. I need to get the laptop replaced as it is harming my current work,3
VWITS_Replace Laptop Charger,3
VWITS_REQ9742965 : VWITS DLAD Server Admin Account Access Request,3
VWITS_REQ9743008 : VWITS DLAD Server Admin Account Access Request,3
VWITS_Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,3
VWITS_SAP Secure login client is not installed in my system for SNC details,3
VWITS_VWITS_KIRA resources access for,3
VWITS_REQ9728455 : VW IT Software Requisition Request,3
VWITS_Kindly provide an access to \\\\10.105.152.23\\VW_Connect\\ shared location required for the VW Connect Project.,3
VWITS_Required printer access,3
VWITS_Require access to DevStack JIRA and DevStack Confluence.,3
VWITS_Request for virtual PKI card installation,3
VWITS_International Roaming activated on my corporate phone,3
VWITS_I need a permanent mouse,3
VWITS_I have deleted the hostname from sccm,3
VWGDS_Share Folder Access to Tax Team for E-Waste Invoice,3
VWGDS_VM creation,3
"VWITS_I am not receiving the Trellix Antivirus report for resource mailboxVGJP R: Tokyo, Trellix Antivirus Reports server_scanning@vgj.co.jp since 25th of July.",3
"VWITS_Hi Team,",3
"VWITS_Hello Team, can you please help us and create the user in SOP 100 so that we can proceed with the role assignment.",3
VWITS_Virtual Smart Card Installation,3
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEV_RDR,3
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access,3
VWITS_VWITS_KIRA resources access- V:VWAG_COCOA_RDR,3
VWITS_Ghostscript 9 GPL Uninstallation.,3
VWITS_Think cell access,3
VWITS_Teams recording access,3
VWITS_Sketch 101.8 Uninstallation.,3
VWITS_SAP IBP Software Installation,3
VWITS_Delete the hostname from AD,3
VWITS_DbVisualizer 24.3 Uninstallation.,3
VWITS_Could you please provide access for below shared drive location.  \\\\vwvircsfs\\Delivery_PDVI\\EAS \\\\vwvircsfs\\Delivery_PDVI\\EAS\\Knowledge Acquisition\\PDM_Cluster\\ECA,3
VWITS_as a new joiner kira Resource extension is needed for the user id - GLARZ5I for JIRA AND SOLMEN access,3
"VWITS_\tHello Team, Could you please help and assign the role: V-B2B-EXPORT - B2B to below mentioned user?",3
VWITS_Workstation Player 17.5 Uninstallation.,3
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-,3
VWITS-Laptop replacement HP to Lenovo and configuration,3
VWITS_Citrix installation,3
VWITS_Can you help me install PuTTY and Pageant?,3
VWITS_Beyond Compare 5.0 Uninstallation.,3
VWITS_As part of project requirement need to install WSL setup,3
VWITS_Access for Jira and Confluence link which resides on Cocoa Devstack,3
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook_SDC,3
VWITS_'VWITS - IT Asset Requisition' requester details.(SDC),3
VWITS_'VWITS - IT Asset Requisition' requester details.(Lenovo Laptop),3
VWITS_'VWITS - IT Asset Requisition' requester details.(Macbook PD-II),3
VWITS_'VWITS - IT Asset Requisition' requester details,3
VWITS_ Resource Account and Distribution List Form' requester details.,3
VWITS_need access for confluence,3
NewAD: Request for  AD Management/Admin Permissions,3
VWITS_delete the hostname from AD,3
VWITS_ Please help us and create the user in SOP 100 so that we can proceed with the role assignment.,3
VWITS-iPhone after DEP removed request for factory reset and configuration,3
VWITS-iPhone new assignment,3
VWITS-could you please help and assign the role: V-B2B-EXPORT,3
VWITS-Software Uninstallation,3
VWITS-System Health Check-up Activity,3
VWITS-Require to remove DEP from Iphone,3
VWITS-Require T1 Account to logon on CyberArk.,3
VWITS-Request to whitelist the URL.,3
VWITS-Quarterly system health check and updates,3
VWITS-Printer Installation,3
VWITS-New iPhone Configuration,3
VWITS-Need to uninstall some applications to free up the space in system.,3
VWITS-Firewall port opening form,3
VWITS_virtual PKI card installation,3
VWITS_printer installation,3
VWITS_Unity Hub 2.3 Uninstallation.,3
VWITS-Need DevStack Confluence access,3
VWITS-Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR,3
VWITS-KIRA resources access - V:V-KVS_USER,3
VWITS-KIRA resources access - V:V-UNIXWOB,3
VWITS-KIRA resources access - V:VWAG_COCOA_RDR,3
VWITS_need to delete the hostname from AD>,3
VWITS_need to delete the hostname from AD>>,3
VWITS_REQ11190687 : VW IT Software Requisition Request,2
VGDS-Request For VSC installation,2
VWITS_REQ11088445 : VW IT Software Requisition Request,2
VWITS_REQ10905436 : VW IT Software Requisition Request,2
VWITS_REQ10622895 : VW IT Software Requisition Request,2
VWITS_REQ10580589 : VW IT Software Requisition Request,2
VWITS_REQ10573081 : VWITS DLAD Server Admin Account Access Request,2
VWITS_REQ10576863 : VW IT Software Requisition Request,2
VWITS_REQ10576889 : VW IT Software Requisition Request,2
VWITS_REQ10571090 : VW IT Software Requisition Request,2
VWITS_REQ10572032 : VW IT Software Requisition Request,2
VWITS_REQ10558410 : VW IT Software Requisition Request,2
VWITS_REQ10559708 : VW IT Software Requisition Request,2
VWITS_REQ10553091 : VW IT Software Requisition Request,2
VGDS_Shai-Hulud - Automated Response - Exploit Prevention,2
VWITS_REQ10443830 : VWITS DLAD Server Admin Account Access Request,2
VWITS_REQ10381759 : VW IT Software Requisition Request,2
VWITS_REQ10374572 : VW IT Software Requisition Request,2
VWITS_REQ10381278 : VW IT Software Requisition Request,2
VWITS_REQ10361789 : VW IT Software Requisition Request,2
VWITS_REQ10361897 : VW IT Software Requisition Request,2
VWITS_REQ10357395 : VW IT Software Requisition Request,2
VWITS_REQ10359959 : VW IT Software Requisition Request,2
VWITS_REQ10347658 : VW IT Software Requisition Request,2
VWITS_REQ10319694 : VW IT Software Requisition Request,2
VWITS_REQ10320434 : VW IT Software Requisition Request,2
VWITS_REQ10321083 : VW IT Software Requisition Request,2
VWITS_REQ10308257 : VW IT Software Requisition Request,2
VWITS_REQ10301491 : VW IT Software Requisition Request,2
VWITS_REQ10133630 : VW IT Software Requisition Request,2
VWITS_REQ10118260 : VW IT Software Requisition Request,2
VWITS_Python installation,2
VWITS_VWITS required weekly link utlization report for Ganges and Congo,2
VWITS_VWGDS_KIRA resources access for “MEENA KANCHI” - V:V-B2B-EXPORT,2
VWITS_VWAG_COCOA_RDR (for LSO) resource access,2
VWITS_VWAG_COCOA_RDR (for LSO) resource access  V:VWAG_COCOADEVSTACK_RDR,2
VWITS_V:VWAG_DFT_AQ2_SAPGUI - G96Q6JB,2
VWITS_Project and require Confluence access,2
VWITS_Printer access,2
VWITS_Printer Access,2
VWITS_Please update the Application Manager,2
VWITS_Please revoke Prod Application KIRA Resource,2
VWITS_Please provide the cocoa devstack access for 'GCMP Salse and DPA' project,2
VWGDS - MS Teams Meeting Recording access,2
VWITS_Please provide me access for https://confluence.wob.vw.vwg:8443/confluence/display/VWITS/Cloud+Team+Onboarding+Master,2
VWITS_Please provide access to Kira roles for user,2
VWITS_Please provide me access for VWITS_ VWAG_COCOA_RDR (for LSO) resource access V6CV12U V:V-B2B-EXPORT,2
VWITS_Please provide access for color printing. Attaching approval email,2
VWITS_Please provide COCOADEVSTACK resources to mentioned users,2
VWITS_Please provide Teams Recording access for 3months,2
VWITS_Please help us and create the user in SOP 100 so that we can proceed with the role assignment.,2
VWITS_Please help and assign the role: V-B2B-EXPORT - B2B,2
"VWITS_Please extend MS Teams recording, find attached approved form for your reference",2
VWITS_Please assign this KIRA role (V-B2B-EXPORT V) to my userID(wchdfn0),2
VWITS_Please add the following KIRA resources to the account id AP9Q63N V:VWAG_COCOADEVSTACK_RDR,2
VWITS_Please add following KIRA V:VWAG_COCOADEVSTACK_RDR,2
VWITS_Please add following KIRA V:VWAG_VWDMS_USER,2
VWITS_Please add Kira Resource - VWAG_MYORDER_USER -,2
VWITS_Please add below  DNS entry to the I.P: 10.105.2.220,2
VWITS_Please add following KIRA V:V-UNIXWOB,2
VWITS_Outlook not working,2
VWITS_Not getting HR update mails. Kindly help how do i get those. Let me know if anything needs to be done from my side.,2
VWITS_Notepad++ Installation,2
"VWITS_Not able access MS teams and outlook, messages are syncing up and tried to sign in but still there is a problem, its bit urgent, could you please help me on the same",2
VWITS_New printer istalled in our new office banglore,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM15534392,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM15534584,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM15535458,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM15537965,2
VWGDS- Request For Revocation of Access,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14622365,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14634920,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14493464,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14499336,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14511007,2
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14468246,2
VWITS_New Request [REQ9744259 / RITM14488792] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ9729545 / RITM14467784] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ9730070 / RITM14468389] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ9730347 / RITM14468722] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10626338 / RITM15584371] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10570408 / RITM15517235] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10577912 / RITM15526077] to IT Service Desk For IT Security Exception Reporting Form,2
VWGDS- Request for VSC installation,2
VWITS_New Request [REQ10561614 / RITM15505086] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10563368 / RITM15507199] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10563526 / RITM15507367] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10475455 / RITM15400463] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_New Request [REQ10482260 / RITM15408319] to IT Service Desk For IT Security Exception Reporting Form,2
VWITS_Network,2
VWITS_Needed separate mail Distribution List for SAP PLM - AMS. Team members will be Sanath - sanath.s.karanam@volkswagen.co.in; Nandakishore - nandakishore.b@volkswagen.co.in,2
VWITS_Need to provide access of VWgroup Devstack and KIRA roles,2
VWITS_Need to replace my headset,2
VWITS_Need to installed printer.,2
VWGDS-Flexera KIRA Role Assignment | UX428VZ,2
VWGDS-Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,2
VWGDS- Request For installed software after laptop replacement,2
VWITS_Need to install Virtual PKI card,2
VWITS_Request for stopping the auto-updating of JDK 8 version,2
VWITS_Request for teams recording and transcription,2
VWITS_Request for approval to add new Joiner in B2B and COCOA domains,2
VWITS_Request for getting access of SOLMAN/JIRA/CONFLUENCE,2
VWITS_Request for getting kira resources,2
VWITS_Request for a Soft Certificate to be created for BOT ID - AX7SMTR. please assign ticket to KAM team,2
VWITS_Request for PKCS#11 Provider DLL Path for SSH,2
VWITS_Request for Teams Call restriction on MTR device,2
VWITS_Request for Kira Resource Edition in VCD. Here is the resource name: [V:VWAG_COCOADEVSTACK_RDR].,2
REQ11154591 : VW IT Software Requisition Request,2
VWITS_Request for IT support of Below mentioned,2
VWITS_Request REQ9868747 / RITM14644089 For IT Security Exception Requesting Form is Expire today,2
VWITS_Need to install Pnp module in Powershell for SharePoint Data Migration,2
VWITS_Need to enable international roaming on company provided number,2
VWITS_Need to delete the hostname from,2
VWITS_Need to delete the hostname from AD for exit user,2
VWITS_Need to delete client/computer using MAC Address,2
VWITS_Need to delete from,2
VWGDS-PKI Card rebranding activity,2
VWGDS-REQ11191353: VW IT Software Requisition Request,2
VWGDS-Apply the picture into client’s machine screen saver,2
VWITS_Need to allocate Manage Engine license for training purpose,2
VWITS_Need to allocate Manage Engine license for training purpose -,2
VWITS_Need to add new printer in imdop server from Gurgaon location,2
VWITS_Need to Install softwares SAP GUI and eclipse IDE in desktop. Got the request approved,2
VWITS_Need paid Microsoft copilot license for enabling AI agent in Microsoft sharepoint.,2
VWITS_Need printer installation,2
VWGDS-Request for  VSC installation,2
VWGDS-Request for VSC installation,2
VWITS_Need admin or sudo access to ubuntu subsystem installed on top of windows OS,2
VWITS_Need admin access to install connect client,2
VWITS_Need access to shared folder \\10.105.152.23\\HR_Talent_Development,2
VWITS_Need access to the Charm tool for supporting the authorization related tasks,2
VWITS_Need access on sharedpath  \\\\10.105.152.23\\RPABot_InternalData\\,2
VWITS_Need access on sharedpath \\\\VWVICKSDLPPOC\\Unuathorised Software Installation\\Input Files\\Files Required,2
VWITS_Need access to DevStack,2
"VWITS_Need access for copilot. *DLV Number:- DLV I25_VWITS_383 *Project Name:- OneHub *Employee User id (Alpha-Numeric) :- F3Z3ZNS *Function (BandR, SAP, Tech, KD, etc) :- KD",2
VWITS_Need access for these KIRA resources,2
"VWITS_Need access on Group mail box VITI R: Hinjewadi, VWITS Information Security Bot- vwitsinfosecbot@volkswagen.co.in",2
VWITS_Need access for VWITS_VWITS_Cocoa Dev stack,2
VWITS_Need access for KIRA Resource,2
VWITS_Need MS Teams recording access. Please check the attached request form.,2
VWITS_Need Postman and tiny-curl tools on my laptop for project work:,2
VWITS_Need Printer Access,2
VWITS_Need Printer access,2
VWITS_Need Information to Enable Dynatrace Alert Emails to Microsoft Teams Channel,2
VWITS_Need HDMI Cable,2
VWITS_Need HDMI cable as I have received new  Lenovo laptop.,2
VWITS_Need HDMI cable for HP laptop.,2
VWITS_Need Dev stack Access to run day to project activities VWITS_ VWAG_COCOA_RDR (for LSO) resource access DC7IZZP V:V-B2B-EXPORT,2
"VWITS_My laptop installed with Visual studio 2022, and need to install Visual Studio 2026, after uninstalling existing 2022, and my account is subscribed with Professional Microsoft license already. please do needful.",2
VWITS_VWITS_KIRA resources access for Yogesh Shinde - V:VWAG_SERVICECENTER_USER,2
VWITS_VWITS_KIRA resources access for Yogesh Shinde - V:VWAG_CMDB_VW_USER,2
VWITS_VWITS_KIRA resources access for Nishank Firke - V:V-B2B-EXPORT,2
VWITS_VWITS_KIRA resources access for Komakula Vignay - V:VWAG_COCOADEVSTACK_RDR,2
VWITS_VWITS_KIRA resources access - V:VWAG_COCOA_RDR,2
VWITS_VWITS_KIRA resources access - V:VWAG_NAD_PERSONAL_MAILBOX,2
VWITS_VWITS_KIRA resources access V:VWAG_SERVICECENTER_USER,2
VWITS_VWITS_KIRA resources access  V:VWAG_COCOADEV_RDR,2
VWITS_VWITS_KIRA resources access - V:V-B2B-EXPORT,2
VWITS_VWITS_KIRA resources access - V:V-B2BINT,2
VWITS_VWITS_ Request For KIRA role access,2
VWITS_My colleague's PKI card is not detecting,2
VWITS_Mobile Phone,2
VWITS_MS teams Recording access required,2
VWITS_Lost PKI card,2
VWITS_MAC charging cable is not working and due to which I'm not able to charge my MAC properly. Kindly create a ticket to replace my MAC charging cable. Adapter is working as expected and issue is with cable,2
VWITS_MDM,2
VWITS_Laptop charger,2
"VWITS_LAN port is available on Hudson, 7th Floor | Desk: HUD 07-141. kindly enable lan port for mentioned desk number.",2
VWITS_Laptop,2
"VWITS_Kindly remove below assigned KIRA roles for user DW88V09: V:VWAG_NOLIS, V:V-KVS_USER",2
VWITS_Kira role access request for kira role: V-B2B-EXPORT V,2
VWITS_Kindly provide access to all the resources group for all team members given below.,2
VWITS_Kindly confirm the below DLAD ID has been deactivated/deleted or not,2
VWITS_Kindly add for below team members to the devstack,2
"VWITS_KVS KIRA role \""V:V-KVS_USER\"" access",2
VWITS_KIRA resources access V:VWAG_COCOA_RDR,2
VWITS_KIRA resource assignment,2
VWITS_KIRA resources access  V:V-B2B-EXPORT,2
VWITS_KIRA resources access - V:V-B2BINT,2
VWGDS_ Request for citrix installation,2
VWITS_Role access request,2
VWITS_Requires the Kira role for group DMS to enable authorization within the Flexera ITAM system,2
VWITS_Need to add apple devices into Intune CDI,2
VWITS_requirement of HDMI cable,2
