Title,Service_Request_Count,Percentage
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Hudson, 7th Floor",7,0.03
VWITS-Guest Wi-Fi request,7,0.03
VWITS_'VWITS - IT Asset Requisition' requester details. Dongle,7,0.03
VWITS-iPhone configuration and assigned,7,0.03
VWITS-Installation of Virtual Smart Card,7,0.03
VWITS-Quarterly System health check and update.,7,0.03
Request for Access to VW Open Network (SSID: vw-internal),7,0.03
VWITS_Need to delete client/computer using MAC Address,7,0.03
VWITS_Assets Allocation-GGN,7,0.03
VWITS_HDMI Cable,7,0.03
VWITS_Sublime Text 4.0 Uninstallation.,7,0.03
VWITS_Docker Desktop 4.30 Uninstallation.,7,0.03
VWITS_VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,7,0.03
VWITS_ Request for IT support of Below mentioned event,7,0.03
VWITS-Remove Apple iPhone from DEP,7,0.03
VWITS_Request for Revoke to VW Open Network (SSID: vw-internal),7,0.03
VWITS_Request for IT support of mentioned event,7,0.03
VWITS_Rational Application Developer for WebSphere Software 9.7 Uninstallation.,7,0.03
VWITS-iPhone replacement and configuration for VIP Users,6,0.02
VWITS_Docker Desktop 4.24 Uninstallation,6,0.02
VWITS_VWAG_IPM_BS_ADM access,6,0.02
VWITS_Software installation,6,0.02
"VWITS_Hi, I am new to the team and need access to the KIRA resources.",6,0.02
VWGDS: Change the frequency of Barco Devices from 5 GHz to 2.4 GHz 6th floor Hudson building,6,0.02
VWITS_REQ9630921 : VW IT Software Requisition Request,6,0.02
VWITS_DbVisualizer 23.2 Uninstallation.,6,0.02
VWITS_Delete old host name in AD :,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details.(PD-II),6,0.02
VWITS_To Update the current MongoDB version with v8.0.11 or latest version.,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details-Congo,6,0.02
VWITS_think-cell 13.0 Uninstallation.,6,0.02
VWITS_printer not configure,6,0.02
VWITS-Kindly remove admin access,6,0.02
VWITS_'VWITS - IT Asset Requisition' requester details_ Apple  Macbook,6,0.02
VWITS_ VWAG_COCOA_RDR (for LSO) resource access V:V-B2B-EXPORT,6,0.02
VWITS_Need to delete old host name in AD,6,0.02
VWITS_VWITS - IT Asset Requisition for new joinee,5,0.02
VWITS_Docker Desktop 4.38 Uninstallation.,5,0.02
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Ganges, 9th Floor",5,0.02
VWITS_REQ10922141 : VW IT Software Requisition Request,5,0.02
"VWITS_Hi, I am new to the team and need access to the KIRA resoucrce.",5,0.02
VWITS_AnyConnect Secure Mobility Client 4 Uninstallation.,5,0.02
VWITS_Pls grant devstack access,5,0.02
VWITS_'VWITS - IT Asset Requisition' requester details,5,0.02
VWITS_VWITS_KIRA resources access- V:V-UNIXWOB,5,0.02
VWITS_Resource Account and Distribution List Form' requester details.,5,0.02
VWITS-Color Print Access,5,0.02
VWITS_VWAG_COCOA_RDR (for LSO) resource access VWAG_COCOA_RDR (for LSO),5,0.02
VWITS_Remote connection issue,5,0.02
VWITS_'VWITS - IT Asset Requisition' requester details. Laptop,5,0.02
VWITS_VWITS - Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,5,0.02
VWITS_I require access for Jira and Confluence link which resides on Cocoa Devstack.,5,0.02
VWITS_Oracle Database 19c Enterprise Uninstallation.,5,0.02
VWITS_REQ9708799 : VW IT Software Requisition Request,5,0.02
VWITS_REQ9696612 : VW IT Software Requisition Request,5,0.02
VWITS-Require access for Jira and Confluence,5,0.02
VWITS_need to delete hostname from AD,5,0.02
VWITS_Desk phone display name change,5,0.02
VWITS_Need access to printer,5,0.02
VWITS_ Require access for Jira and Confluence link which resides on Cocoa Devstack.,5,0.02
VWITS-Software Uninstallation,5,0.02
VWITS_Virtual Smart Card Installation,5,0.02
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access VWAG_COCOA_RDR (for LSO),5,0.02
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEV_RDR,5,0.02
VWITS_Kindly install Visual Studio Code into my system.,4,0.01
VWITS_Tecnomatix 16.0 Uninstallation.,4,0.01
"VWITS_I am not receiving the Trellix Antivirus report for resource mailboxVGJP R: Tokyo, Trellix Antivirus Reports server_scanning@vgj.co.jp since 25th of July. I use to receive the report regularly till 24th.",4,0.01
VWITS-Quarterly health check and system update,4,0.01
VWITS-Quarterly health check and system update.,4,0.01
VWITS_Docker Desktop 4.21 Uninstallation.,4,0.01
VWITS_REQ11073497 : VW IT Software Requisition Request,4,0.01
VWITS_Docker Desktop 4.31 Uninstallation.,4,0.01
VWITS-Need to delete client HOSTNAMES,4,0.01
VWITS_REQ8974356 : VW IT Software Requisition Request,4,0.01
VWITS-Need to delete the hostname from AD,4,0.01
VWITS-Kindly revoke internet access of below mentioned user,4,0.01
VWITS_REQ10141802 : VW IT Software Requisition Request,4,0.01
VWITS_Docker Desktop 4.36 Uninstallation.,4,0.01
VWITS_KIRA Resources,4,0.01
VWITS_I have deleted the hostname from SCCM,4,0.01
VWITS-Kindly revoke local admin access,4,0.01
VWITS_Request for IT support,4,0.01
VWITS_Request for providing access - V:VWAG_KPDM_INMON,4,0.01
VWITS_Docker Desktop 4.22 Uninstallation.,4,0.01
VWITS_Require access for Jira and Confluence link which resides on Cocoa Devstack.,4,0.01
VWITS_REQ10024016 : VW IT Software Requisition Request,4,0.01
VWITS_'VWITS - IT Asset Requisition' requester details. SIM Card,4,0.01
REQ11148274 : VW IT Software Requisition Request,4,0.01
VWITS-Request for the identified vulnerability,4,0.01
VWITS_V:VWAG_COCOADEVSTACK_RDR,4,0.01
VWGDS-Request  screensaver org wide,4,0.01
VWITS_VWGDS_KIRA resources access for,4,0.01
VWITS_VWITS_KIRA resources access - V:VWAG_COCOADEVSTACK_RDR,4,0.01
VWITS-KIRA resources access V:V-UNIXWOB,4,0.01
VWITS_Beyond Compare 5.0 Uninstallation.,4,0.01
VWITS_ Request for IT support,4,0.01
VWITS_WebSphere MQ (Unknown component) 9.2 Uninstallation.,4,0.01
VWITS_Citrix installation,4,0.01
VWITS_printer installation,4,0.01
VWITS_want local admin access in new laptop,4,0.01
"VWITS_IT asset allocation, GGN",4,0.01
VWITS-Kindly revoke admin access of below mentioned user,4,0.01
VWITS-Kindly revoke admin rights,4,0.01
VWITS_Need to delete old host name in AD :,4,0.01
VWITS_Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,4,0.01
VWITS_Need to install the printer,4,0.01
VWITS_Migrate Account in O365,4,0.01
VWITS_KIRA resource access,4,0.01
VWITS_DataGrip 2024 Uninstallation.,4,0.01
"VWGDS_ R: Request Change the frequency of Barco Devices from 5 GHz to 2.4 GHz :- At Hudson, 5th Floor",4,0.01
VWITS_My laptop key board is not working properly.,4,0.01
VWITS_Need to delete hostname from AD,4,0.01
VWITS_DbVisualizer 24.2 Uninstallation.,4,0.01
VWITS_Mouse Allocation-GGN,4,0.01
VWITS_'VWITS - IT Asset Requisition' requester details. ZBook,3,0.01
VWITS_Docker Desktop 4.26 Uninstallation,3,0.01
VWITS_Please add following KIRA V:VWAG_NBHB_USER to userid TT9E4FC,3,0.01
VWGDS-Enable international roaming on the company-issued SIM card for usage in Germany,3,0.01
VWITS-Quarterly system health check and updates,3,0.01
VWIT-Color printer access for VIP User,3,0.01
VWITS_Could you please provide access for below shared drive location.  \\\\vwvircsfs\\Delivery_PDVI\\EAS \\\\vwvircsfs\\Delivery_PDVI\\EAS\\Knowledge Acquisition\\PDM_Cluster\\ECA,3,0.01
VWITS-Firewall port opening form,3,0.01
VWITS_I have deleted the hostname from sccm,3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.(Lenovo Laptop),3,0.01
VWITS_Ghostscript 9 GPL Uninstallation.,3,0.01
VWITS-Access to color printer,3,0.01
VWITS-KIRA resources access - V:V-KVS_USER,3,0.01
VWITS_Kindly provide an access to \\\\10.105.152.23\\VW_Connect\\ shared location required for the VW Connect Project.,3,0.01
VWITS-Kindly revoke admin access for mentioned user,3,0.01
VWITS_Need access to the Charm tool for supporting the authorization related tasks for ET2000 systems for South Africa.,3,0.01
VWITS_Assets Allocation--GGN,3,0.01
VWITS-KIRA resources access - V:V-UNIXWOB,3,0.01
VWITS-could you please help and assign the role: V-B2B-EXPORT,3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.(Macbook PD-II),3,0.01
VWITS-KIRA resources access - V:VWAG_COCOA_RDR,3,0.01
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14345424,3,0.01
NewAD: Request for  AD Management/Admin Permissions,3,0.01
VWITS-Require T1 Account to logon on CyberArk.,3,0.01
VWITS_REQ9721711 : VW IT Software Requisition Request,3,0.01
"VWITS_Mouse allocation, GGN",3,0.01
VWITS_REQ9727677 : VW IT Software Requisition Request,3,0.01
VWITS_REQ9728455 : VW IT Software Requisition Request,3,0.01
VWITS_REQ9742965 : VWITS DLAD Server Admin Account Access Request,3,0.01
VWITS_REQ9743008 : VWITS DLAD Server Admin Account Access Request,3,0.01
VWITS_Mouse Allocation--GGN,3,0.01
VWITS_Delete the hostname from AD,3,0.01
VWITS_Access for Jira and Confluence link which resides on Cocoa Devstack,3,0.01
VWITS_Need to configure rule into Outlook so that only To emails will recevied,3,0.01
VWITS-Need DevStack Confluence access,3,0.01
VWITS_Printer Access,3,0.01
VWITS_REQ10923971 : VW IT Software Requisition Request,3,0.01
VWGDS-new Lenovo ThinkPad X13 2-in-1 Gen 5  configuration,3,0.01
VWITS-Request you to install Notepad++ software,3,0.01
VWITS_Request for Kira/Devstack role access,3,0.01
VWITS-Request to whitelist the URL.,3,0.01
VWITS_I want to request access for below applications,3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details. Mouse,3,0.01
VWITS_Request to add user to mailbox DL mailbox details,3,0.01
VWITS_REQ11221034 : VW IT Software Requisition Request,3,0.01
VWITS_Require access to DevStack JIRA and DevStack Confluence.,3,0.01
VWITS_Required printer access,3,0.01
VWITS_REQ7933344 : VW IT Software Requisition Request,3,0.01
VWITS_I want local admin access in my system,3,0.01
VWITS_Revoke SSID,3,0.01
VWITS_SAP IBP Software Installation,3,0.01
VWITS_Sketch 101.8 Uninstallation.,3,0.01
"VWITS_My headphone is not working properly. It is disconnected automatically. So, Could you please replace my headphone",3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details_Apple MacBook_SDC,3,0.01
VWITS_Please add Prod Application KIRA Resource - VWAG_MEDUSA_TEC,3,0.01
VWITS-REQ9602748 : VW IT Software Requisition Request,3,0.01
VWITS_REQ7996906 : VW IT Software Requisition Request,3,0.01
VWITS-IT Asset Requisition' requester details.,3,0.01
VWITS_Need printer access,3,0.01
VWITS-New iPhone Configuration,3,0.01
VWITS-Mouse allocation-GGN,3,0.01
VWITS_Think cell access,3,0.01
VWITS-Request for MS Team Access,3,0.01
VWITS-Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR,3,0.01
VWITS_Unity Hub 2.4 Uninstallation.,3,0.01
VWITS_International Roaming activated on my corporate phone,3,0.01
VWITS_User added ( G-VT-USERS)group,3,0.01
VWITS_My colleague's PKI card is not detecting.,3,0.01
VWITS_ Please help us and create the user in SOP 100 so that we can proceed with the role assignment.,3,0.01
VWITS_Need to install virtual card,3,0.01
VWITS_DbVisualizer 24.3 Uninstallation.,3,0.01
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:V-B2BINT,3,0.01
VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEVSTACK_RDR,3,0.01
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-,3,0.01
VWITS_REQ9585464 : VW IT Software Requisition Request,3,0.01
VWITS_Headset,3,0.01
VWITS_REQ9611639 : VW IT Software Requisition Request,3,0.01
VWITS-Laptop charger is not working,3,0.01
VWITS_ Resource Account and Distribution List Form' requester details.,3,0.01
VWITS-Printer Installation,3,0.01
VWITS_VWITS - IT Asset Requisition for new joinee (Laptop),3,0.01
VWGDS_Share Folder Access to Tax Team for E-Waste Invoice,3,0.01
VWITS-Laptop replacement HP to Lenovo and configuration,3,0.01
VWITS - IT Asset Requisition' requester details_Apple Macbook,3,0.01
VWITS_Please add my id,3,0.01
VWITS_Mouse is not working,3,0.01
VWITS_VWITS_KIRA resources access for,3,0.01
VWITS-Printer installation,3,0.01
"VWITS_I am not receiving the Trellix Antivirus report for resource mailboxVGJP R: Tokyo, Trellix Antivirus Reports server_scanning@vgj.co.jp since 25th of July.",3,0.01
VWITS_REQ9633168 : VW IT Software Requisition Request,3,0.01
VWITS_Need HDMI cable,3,0.01
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access V:VWAG_COCOADEV_RDR,3,0.01
VWITS-System Health Check-up Activity,3,0.01
VWITS-Kindly assign below mentioned role,3,0.01
VWITS-Require to remove DEP from Iphone,3,0.01
VWITS_REQ9655914 : VWITS DLAD Server Admin Account Access Request,3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details_ Apple MacBook,3,0.01
VWITS-iPhone new assignment,3,0.01
"VWITS_\""VWITS_KIRA resources access",3,0.01
VWITS_delete the hostname from AD,3,0.01
VWITS_need access for confluence,3,0.01
VWITS_Need to install printer,3,0.01
VWITS_Password reset,3,0.01
VWITS-Need to uninstall some applications to free up the space in system.,3,0.01
VWITS_need to delete the hostname from AD>,3,0.01
VWITS_need to enable the team meeting recording for the KT sessions,3,0.01
VWITS_PKI card pin change,3,0.01
VWITS_please help and assign the role: V-B2B-EXPORT - B2B,3,0.01
VWITS_Need to update host file - Congo,3,0.01
VWITS-Require access for Jira and Confluence link,3,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.(SDC),3,0.01
VWITS_require access for Jira and Confluence link,3,0.01
VWITS-iPhone after DEP removed request for factory reset and configuration,3,0.01
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14539196,3,0.01
VWITS_vsc installation,3,0.01
"VWITS_Hello Team, can you please help us and create the user in SOP 100 so that we can proceed with the role assignment.",3,0.01
VWITS_VWITS_VWAG_COCOA_RDR (for LSO) resource access,3,0.01
VWITS_KIRA resources access - V:V-B2BINT,2,0.01
VWITS_Need access for //vw.vwg/vwdfs/k-e/ee/1679-Projekte/BAP-public,2,0.01
VWITS_H2 Database Start Up Software Java Security,2,0.01
VGDS-Request For VSC installation,2,0.01
VWITS-Install Citrix application,2,0.01
VWITS_Confluence Access request/Role assignment,2,0.01
VWITS_REQ10573081 : VWITS DLAD Server Admin Account Access Request,2,0.01
VWITS_'VWITS - IT Asset Requisition' requester details-GGN,2,0.01
VWITS-Please update my legic  no in VCD,2,0.01
VWITS_Please help us and create the user in SOP 100 so that we can proceed with the role assignment.,2,0.01
VWITS_New Request [REQ10626338 / RITM15584371] to IT Service Desk For IT Security Exception Reporting Form,2,0.01
VGDS_Shai-Hulud - Automated Response - Exploit Prevention,2,0.01
VWITS-Printer Configuration,2,0.01
VWITS-Printer access,2,0.01
"VWITS_In relation with Change in Your Official Email Address [Rebranding], is there any alignment to update this new brand e-mail address in KIRA System. The reason is the e-mail address from KIRA gets updated in KSRM System and the PO/contracts is automa",2,0.01
VWITS_Pixyz Studio 2022 Uninstallation.,2,0.01
VWITS_HDMI cable required,2,0.01
VWITS_Provide confluence group access to below resources,2,0.01
VWGDS-Apply the picture into client’s machine screen saver,2,0.01
VWGDS-Flexera KIRA Role Assignment | UX428VZ,2,0.01
VWITS-Quarterly system health check and updates.,2,0.01
VWITS-KIRA resources access,2,0.01
VWITS-KIRA resources access  V:VWAG_COCOADEV_RDR,2,0.01
VWGDS-Microsoft Teams: Request for temporary permission of MS Teams Meeting Recording,2,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.(GGN),2,0.01
VWITS_REQ10357395 : VW IT Software Requisition Request,2,0.01
VWITS_MS teams Recording access required,2,0.01
VWGDS-New Lenovo ThinkPad X13 2-in-1 Gen 5 configuration,2,0.01
VWITS_KIRA resources access V:VWAG_COCOA_RDR,2,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.-Congo,2,0.01
VWITS_'VWITS - IT Asset Requisition' requester details.Apple MacBook,2,0.01
VWITS-KIRA resources access -V:V-B2BINT,2,0.01
VWGDS-REQ11191353: VW IT Software Requisition Request,2,0.01
VWITS-KIRA resources access -V:VWAG_COCOADEVSTACK_RDR,2,0.01
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-G6MHA8B,2,0.01
VWITS_Please provide me access for VWITS_ VWAG_COCOA_RDR (for LSO) resource access V6CV12U V:V-B2B-EXPORT,2,0.01
VWITS_Need access for KIRA Resource,2,0.01
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-TPXXXBB,2,0.01
VWITS_I want an access of self service portal,2,0.01
VWITS_Confluence Access request/Role assignment-V:VWAG_COCOADEVSTACK_RDR-UCLMAPP,2,0.01
VWGDS-please share latest AD dump data for systems reporting in APAC/VW along with username,2,0.01
VWITS_Please provide me access for https://confluence.wob.vw.vwg:8443/confluence/display/VWITS/Cloud+Team+Onboarding+Master,2,0.01
VWITS_I want dock station for my project requirement to connect laptop to screen,2,0.01
"VWITS-unable to access one connect as well as share point,",2,0.01
VWITS_Oracle Database 21c Enterprise Uninstallation.,2,0.01
VWITS_Need to installed printer.,2,0.01
VWITS-KIRA resources access- V:V-B2B-EXPORT,2,0.01
VWITS-KIRA resources access- V:VWAG_CMDB_VW_USER,2,0.01
VWITS_REQ10443830 : VWITS DLAD Server Admin Account Access Request,2,0.01
VWITS_REQ10576863 : VW IT Software Requisition Request,2,0.01
VWITS_Confluence access for the user,2,0.01
VWITS-KIRA resources access-V:V-B2B-EXPORT,2,0.01
VWITS_Need access for VWITS_VWITS_Cocoa Dev stack,2,0.01
"VWITS_I want teams recording access, i have attached approval form , please let me know if any additional information required.",2,0.01
VWITS-KIRA resources access-V:VWAG_MDM_MSO365_USER,2,0.01
VWITS_Please provide COCOADEVSTACK resources to mentioned users,2,0.01
VWITS-Replacement HP to Lenovo laptop,2,0.01
VWITS_Need to delete from,2,0.01
VWITS_. Request for IT support of  mentioned event,2,0.01
VWITS-Kindly assign below mentioned roles to my User ID,2,0.01
VWITS_Hudson location 6th floor Lan port D130 enable for video wall installation,2,0.01
VWITS_Connect software is not working,2,0.01
VWITS_REQ10374572 : VW IT Software Requisition Request,2,0.01
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM14438076,2,0.01
VWITS_New Request to IT Service Desk For IT Security Incident Reporting Form - RITM12337923-GGN,2,0.01
VWITS_Need paid Microsoft copilot license for enabling AI agent in Microsoft sharepoint.,2,0.01
VWGDS_New Lenovo ThinkPad X13 2-in-1 Gen 5  configuration and replacement,2,0.01
"VWITS_Need access for copilot. *DLV Number:- DLV I25_VWITS_383 *Project Name:- OneHub *Employee User id (Alpha-Numeric) :- F3Z3ZNS *Function (BandR, SAP, Tech, KD, etc) :- KD",2,0.01
VWITS-Request REQ8993953 / RITM13520507 For IT Security Exception Requesting Form is Expire today,2,0.01
VWITS_Need to provide access of VWgroup Devstack and KIRA roles,2,0.01
VWITS_Manage engine endpoint central agent not installed on the system-- need to access digital software management tool,2,0.01
VWITS_ Assign the role: V-B2B-EXPORT - B2B,2,0.01
VWITS_Need printer installation,2,0.01
"VWITS_A-CICIP, A-CICIQ, A-CICIT, V-B2B-EXPORT",2,0.01
VWITS_REQ10381759 : VW IT Software Requisition Request,2,0.01
VWITS_Need access for these KIRA resources,2,0.01
"VWITS_I already have below software installed in my laptop via previous service requests : Mongo Compass, Java, Node.js, Docker. Due to reported vulnerabilities, I need to update them to latest versions available, hence raising this request.",2,0.01
VWITS-Request for EPO access.,2,0.01
VWITS-Kindly revoke  access of below mentioned user,2,0.01
VWITS-Request for Folder Access,2,0.01
"VWITS_KVS KIRA role \""V:V-KVS_USER\"" access",2,0.01
VWITS-Kindly revoke access,2,0.01
VWITS_REQ10571090 : VW IT Software Requisition Request,2,0.01
VWITS_Need to delete the hostname from,2,0.01
"VWITS_Hello Team ,",2,0.01
VWITS_AWS access,2,0.01
VWITS-Kindly revoke below mentioned access,2,0.01
VWITS_ Could you please assign the below mentioned KIRA roles.  VWAG-NAD-CLIENT-ADMIN VWAG-NAD-APP-ADMIN V-B2B-EXPORT V-B2BINT VWAG_EMD_SCADA_KB_LESEN VWAG_INTERNATE VWAG_IPM_BS_ADM VWAG_KIRA_USER VWAG_MDM_MSO365_USER VWAG_NAD_PERSONAL VWAG_VWDMS_USER V.V,2,0.01
VWITS_I want to create SSL certificate in order to access API endpoint from another application which is under VW infra-network.,2,0.01
"VWITS_Need access on Group mail box VITI R: Hinjewadi, VWITS Information Security Bot- vwitsinfosecbot@volkswagen.co.in",2,0.01
VWITS_Need HDMI Cable,2,0.01
VWITS-Kindly revoke the internet access,2,0.01
VWIT-Screensaver update for user laptops - May 2025,2,0.01
VWITS_Create the user in SOP 100 so that we can proceed with the role assignment.,2,0.01
VWITS_Outlook not working,2,0.01
"VWITS_Hello Team,   VWGDS_Approximately 3000+ systems are non-compliant We have identified that approximately 3000+ systems are non-compliant. The list of affected users has been attached in the Excel sheet for your reference. Kindly release the latest OS",2,0.01
VWITS_Need access on sharedpath  \\\\10.105.152.23\\RPABot_InternalData\\,2,0.01
VWITS-Request for help to transfer the old laptop data to new,2,0.01
